X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.572327200472735,44.644076800471851,426598,BS2084,6123,Yes,Barrington St Before Spring Garden Rd (6123),Accessible,CPD2258,300001720,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.663593200052887,44.660782601169139,426599,BS2615,9110,Yes,Lacewood Terminal Bay 10 (9110),Accessible,,700010366,Terminal,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.580197000215414,44.683483401078412,426600,BS2410,7450,Yes,Pinecrest Dr Before Albro Lake Rd (7450),Accessible,CPD2387,200000609,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.586128499679667,44.65087800075127,426601,BS2330,6508,Yes,Cornwallis St Before North Park St (6508),Accessible,CPD2437,300001217,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574966399573512,44.634540600827144,426602,BS2648,6566,Yes,Inglis St Before McLean St (6566),Accessible,CPD2480,300002189,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.614977899520731,44.633768101220831,426603,BS1904,8107,Yes,Purcells Cove Rd Before Sailboat Ln (8107),Non-Standard,CPD2117,700006877,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.709492600630341,44.786546001402101,426604,BS384,7239,Yes,Millwood Dr After Canting Dr (7239),Non-Standard,CPD902,100002024,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.388316400081635,44.736488801189012,426605,BS1427,8778,Yes,Hwy 7 After Linda Ln (8778),Inaccessible,CPD1661,400000273,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.554573499966956,44.665481401379779,426606,BS2287,7476,Yes,Pleasant St Before Old Ferry Rd (7476),Accessible,CPD2343,200000768,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574769099892713,44.626400500774487,426607,BS901,8406,Yes,Tower Rd Before Point Pleasant Dr (8406),Accessible,CPD1140,300002406,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.675364231259209,44.701986131778142,426608,BS1377,8880,Yes,Larry Uteck Blvd At Civic 420 (8880),Accessible,CPD1546,700001306,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.660267999790442,44.671345000720123,426609,BS1542,7062,Yes,Knightsridge Dr Before Flamingo Dr (7062),Accessible,CPD251,300002984,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.588716299874818,44.585202901450799,426610,BS2473,6879,Yes,Herring Cove Rd Before Esso Rd (6879),Non-Standard,CPD2318,300002787,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.660451600163157,44.760361501355504,426611,BS512,6739,Yes,Glendale Dr After Cobequid Rd (6739),Accessible,CPD844,100000204,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.270322300338641,44.729658601063221,426612,BS1443,8792,Yes,Hwy 207 Before Johnson Ave (8792),Inaccessible,CPD1676,400000101,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.488110599829014,44.606184501135999,426613,BS149,8277,Yes,Shore Rd Before Normans Ln (8277),Accessible,CPD21,200001780,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.669931199759596,44.672275500993159,426614,BS1798,6649,Yes,Farnham Gate Rd Before Montgomery Ct (6649),Non-Standard,CPD1869,300003500,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.563677600181379,44.676280401571866,426615,BS1960,6534,Yes,Crichton Ave After Boathouse Ln (6534),Accessible,CPD2047,700006704,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.578052800683977,44.618431500782556,426616,BS1910,8113,Yes,Purcells Cove Rd Opposite Melvin Rd (8113),Non-Standard,CPD2123,300002536,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.616881099926076,44.625716301557929,426617,BS714,6891,Yes,Herring Cove Rd Before Highfield St (6891),Non-Standard,CPD460,300002458,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.595912900346946,44.638006401512257,426618,BS1865,6453,Yes,Coburg Rd After Oxford St (6453),Accessible,CPD317,300002054,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.519649900583808,44.629984000930229,426619,BS2510,7471,Yes,Main Rd Opposite Harvard Dr (7471),Non-Standard,CPD439,200002877,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.659793299451593,44.690454100890648,426620,BS758,6222,Yes,Bedford Hwy Opposite Kent Ave (6222),Inaccessible,CPD943,300000013,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.590147673651913,44.686056044921827,426621,BS915,6921,Yes,Highfield Park Dr Before Civic 65 (6921),Accessible,CPD1152,200000665,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-06-28T00:00:00.000Z
-63.523840100311425,44.672127000830308,426622,BS1870,8041,Yes,Portland St After Jersey Dr (8041),Accessible,CPD319,200000735,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.549085799694097,44.679854800847963,426623,BS1824,6311,Yes,Prince Albert Rd After Bartlin Rd (6311),Non-Standard,CPD293,200000070,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.481512599831298,44.617999100993337,426624,BS1770,8662,Yes,Hornes Rd After Scott Dr (8662),Inaccessible,CPD1843,200002790,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.574796800342803,44.670559800936175,426625,BS1604,7613,Yes,Bridge Terminal Bay 13 (7613),Accessible,CPD236,700010359,Terminal,06/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2017-06-28T00:00:00.000Z
-63.492565499833184,44.671520000533846,426626,BS181,6482,Yes,Cole Harbour Rd Before Cumberland Dr (6482),Accessible,CPD732,700004636,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.65134099973934,44.655537800858227,426627,BS1976,6605,Yes,Dunbrack St After Birkdale Cr (6605),Accessible,CPD2058,700005231,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.505037300504455,44.66551400073655,426628,BS1339,8838,Yes,Portland Hills Dr Before Woodhaven Cl (8838),Accessible,CPD1510,700004426,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.600706299923218,44.660987601013034,426629,BS1423,8631,Yes,Young St Before Agricola St (8631),Accessible,CPD225,700006602,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.606506361488357,44.65679287428928,426630,BS1398,8634,Yes,Young St Before Windsor St (8634),Accessible,CPD1567,700005104,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,2016-11-22T00:00:00.000Z
-63.57119629968345,44.641547301183621,426631,BS2190,6113,Yes,Barrington St Before Morris St (6113),Accessible,CPD2185,300001887,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.68286789925164,44.70061180076852,426632,BS1375,8878,Yes,Larry Uteck Blvd At Civic 630 (8878),Accessible,CPD1544,700006890,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.666785200819923,44.697515900909245,426633,BS1142,8352,Yes,Starboard Dr Before Larry Uteck Blvd (8352),Non-Standard,CPD1375,300003660,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.625910200695728,44.633341000668992,426634,BS1109,7397,Yes,Osborne St At Civic 7 (7397),Non-Standard,CPD1353,300002272,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.479731299911698,44.644734801289403,426635,BS578,7440,Yes,Atholea Dr Before Caldwell Rd (7440),Non-Standard,CPD973,200003089,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.567339100041792,44.569628701045879,426636,BS1942,7054,Yes,Ketch Harbour Rd After St Pauls Ave (7054),Non-Standard,CPD2032,300002792,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.61880619946141,44.643478401445726,426637,BS2053,6411,Yes,Chebucto Rd Before Joseph St (6411),Accessible,CPD1991,300001735,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.600591399110179,44.695042500955694,426638,BS1932,8514,Yes,Windmill Rd After Victoria Rd (8514),Non-Standard,CPD2141,200001406,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.599082100075464,44.703892601110347,426639,BS1702,6673,Yes,Fielding Ave After Wright Ave (6673),Inaccessible,CPD1957,200002617,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
